a-bomb,bom nguyên tử
anaemia,(y học) bệnh thiếu máu
anaemic,(y học) thiếu máu; xanh xao vì thiếu máu
anaerobian,kỵ khí
anaerobic,kỵ khí
anaesthesia,sự mất cảm giác
anaesthetise,làm mất cảnh giác
anaesthetist,(y học) người gây mê
anaesthetization,sự làm mất cảm giác
anaesthetize,làm mất cảnh giác
anaglyph,đồ chạm nổi thấp
anaglyphic,có hình chạm nổi thấp; (thuộc) chạm nổi thấp
anaglyphical,có hình chạm nổi thấp; (thuộc) chạm nổi thấp
anagoge,phép giải thích kinh thánh theo nghĩa thần bí
anagogic,(thuộc) phép giải thích kinh thánh theo nghĩa thần bí
anagogical,(thuộc) phép giải thích kinh thánh theo nghĩa thần bí
anagogy,phép giải thích kinh thánh theo nghĩa thần bí
anagram,(ngôn ngữ học) phép đảo chữ cái
anagrammatic,(thuộc) phép đảo chữ cái
anagrammatical,(thuộc) phép đảo chữ cái
anagrammatise,viết theo lối đảo chữ cái
anagrammatism,cách viết theo lối đảo chữ cái
anagrammatist,người giỏi viết theo lối đảo chữ cái
anagrammatize,viết theo lối đảo chữ cái
anal,(giải phẫu) (thuộc) hậu môn
analecta,sách văn tuyển
analects,sách văn tuyển
analgesia,(y học) chứng mất cảm giác đau
analogic,sắp đặt lấy tính giống nhau làm tiêu chuẩn
analogical,sắp đặt lấy tính giống nhau làm tiêu chuẩn
analogist,người dùng phép loại suy
analphabet,người mù chữ
analphabetic,người mù chữ
analysability,tính có thể phân tích
analysable,có thể phân tích
analyst,người phân tích
analytic,(thuộc) phân tích
analytical,dùng phép phân tích | hình học giải tích
analytics,môn phân tích
anamnesis,sự hồi tưởng; ký ức
ananas,(thực vật học) quả dứa
anandrous,(thực vật học) không có nhị (hoa)
anapaestic,(thuộc) thể thơ anapet
anaphase,(sinh vật học) pha sau (phân bào)
anaphora,(văn học) phép trùng lặp
anaphoric,(văn học) (thuộc) phép trùng lặp
anaphylaxis,(y học) tính quá mẫn
anaplastic,(y học) (thuộc) thuật tự ghép
anaplasty,(y học) thuật tự ghép
anarchic,vô chính phủ
anarchical,vô chính phủ
anarchism,chủ nghĩa vô chính phủ
anarchy,tình trạng vô chính phủ
anarthrous,dùng không có mạo từ (ngữ pháp hy lạp)
anasarca,(y học) chứng phù toàn thân
anasarcous,(y học) phù toàn thân
anastigmatic,chính thị anaxtimatic
anastomose,nối nhau (hai mạch máu...)
anastomoses,sự nối (hai mạch máu...)
anastomosis,sự nối (hai mạch máu...)
anastrophe,(ngôn ngữ học) phép đảo
anathema,lời nguyền rủa
anatomical,(thuộc) khoa giải phẫu
anatomy,thuật mổ xẻ
anatropous,(thực vật học) ngược (noãn)
anatta,màu cá vàng
anatto,màu cá vàng
anbury,u mềm (ở ngựa và bò)
ance,(y học) mụn trứng cá (ở mặt)
ancestor-worship,sự thờ phụng tổ tiên
anchor-watch,phiên gác lúc tàu thả neo đậu lại
anchovy,(động vật học) cá trống
anchovy-paste,mắm cá trống
anchylose,làm cứng khớp
anchylosis,(y học) bệnh cứng khớp
ancientry,(như) ancientness
ancon-sheep,(động vật học) cừu ancon
andante,(âm nhạc) thong thả
andantino,(âm nhạc) hơi hơi nhanh (nhanh hơn andante)
andiron,vỉ lò (ở lò sưởi)
androecium,(thực vật học) bộ nhị
androgen,hocmon nam
androgyne,người ái nam ái nữ
androgynous,ái nam ái nữ (người)
andromeda,(thiên văn học) chòm sao tiên nữ
anemograph,(khí tượng) máy ghi gió
anemographic,(thuộc) phép ghi gió
anemometer,(khí tượng) cái đo gió
anemometric,(khí tượng) phép đo gió
anemometry,phép đo gió
anemone,(thực vật học) cò chân ngỗng
anemophilous,(thực vật học) truyền phấn nhờ gió
anemoscope,máy nghiệm gió
aneroid,cái đo khí áp hộp ((cũng) aneroid barometer)
anesthesia,sự mất cảm giác
anethum,(thực vật học) cây thì là
aneurism,(y học) chứng phình mạch
aneurismal,(y học) (thuộc) chứng phình mạch
aneurysm,(y học) chứng phình mạch
aneurysmal,(y học) (thuộc) chứng phình mạch
angelic,(thuộc) thiên thần; giống thiên thần; siêu nhân
angelica,(thực vật học) cây bạch chỉ
angelical,(thuộc) thiên thần; giống thiên thần; siêu nhân
angels-on-horseback,món sò bọc thịt mỡ
angelus,(tôn giáo) kinh đức bà
angina,(y học) bệnh viêm họng | (y học) chứng đau thắt ngực
anginose,(y học) (thuộc) bệnh viêm họng
anginous,(y học) (thuộc) bệnh viêm họng
angioma,(y học) u mạch
angiosperm,(thực vật học) cây hạt kín
angiospermous,(thực vật học) (thuộc) cây hạt kín; có hạt kín
angle-iron,(kỹ thuật) thép góc
angler,người câu cá
angleworm,giun làm mồi câu
anglican,(thuộc) giáo phái anh
anglicanism,(tôn giáo) giáo phái anh
anglice,bằng tiếng anh
anglicise,anh hoá
anglicism,từ ngữ đặc anh
anglicize,anh hoá
angling,sự đi câu cá
anglo-american,anh  mỹ
anglo-french,anh  pháp
anglo-saxon,ăng-lô-xắc-xông
anglomania,sự sùng anh
anglophile,thân anh
anglophobe,bài anh
anglophobia,sự bài anh; chủ trương bài anh
angola,mèo angora ((cũng) angora cat)
angora,mèo angora ((cũng) angora cat)
anguine,(thuộc) rắn; như rắn
angustifoliate,(thực vật học) có lá hẹp
anhelation,(y học) sự đoản hơi
anhelous,(y học) đoản hơi
anhydride,(hoá học) anhydrit
anhydrite,(khoáng chất) thạch cao khan
anhydrous,(hoá học) khan | muối khan | trạng thái khan
anicut,(anh  ân) đập nước
anigh,gần
anil,cây chàm
anile,(thuộc) bà già; có tính bà già
aniline,(hoá học) anilin
animalcular,(thuộc) vi động vật
animalcule,vi động vật
animalise,động vật hoá
animalist,kẻ cho thuyết người là thú
animalization,sự động vật hoá
animalize,động vật hoá
animato,(âm nhạc) hoạt động sôi nổi
animator,người cổ vũ
animé,nhựa animê (dùng làm véc-ni)
animism,(triết học) thuyết vật linh
animist,(triết học) người theo thuyết vật linh
animistic,(triết học) (thuộc) thuyết vật linh
animus,tinh thần phấn chấn
anion,(vật lý) anion
anise,(thực vật học) cây anit (thuộc) họ hoa tán
aniseed,hạt anit
anisette,rượu anit
anisodactylous,(động vật học) có chân khác
anisomeric,(hoá học) không đồng phân
anisometric,(vật lý) không đẳng trục
anisometropia,(y học) tật chiết quang mắt không đều
anisopetalous,(thực vật học) không đều cánh (hoa)
anisophyllous,(thực vật học) không đều lá
anisotropic,(vật lý) không đẳng hướng
anisotropy,(vật lý) tính không đẳng hướng
ankle,mắt cá chân | đi hai chân chạm mắt cá nhau
ankle-joint,(giải phẫu) gân gót
anklet,vòng (mang ở mắt cá chân)
annalist,người chép sử biên niên
annalistic,(thuộc) nhà chép sử biên niên
annals,(sử học) biên niên
annelid,(động vật học) giun đốt
annelida,(động vật học) lớp giun đót
annelidan,(thuộc) giun đốt
annexation,sự phụ vào; sự thêm vào
annicut,(anh  ân) đập nước
annihilationist,người theo thuyết tịch diệt
annonaceae,(thực vật học) họ na
annuitant,người có trợ cấp hàng năm
annulary,(giải phẫu) ngón nhẫn
annulate,(số nhiều) có đốt
annulated,(số nhiều) có đốt
annulation,sự kết thành vòng
annulet,vòng nhỏ
annuloid,dạng vòng
annulose,(động vật học) có đốt
annunciation,sự công bố; sự loan báo; lời rao
anocarpous,(thực vật học) mang bào tử ngọn (lá dương xỉ)
anoesis,(tâm lý học) trạng thái tỉnh nhưng không suy nghĩ được
anoetic,(tâm lý học) tỉnh nhưng không suy nghĩ được
anomocarpous,(thực vật học) có quả bất thường
anonaceae,(thực vật học) họ na
anonymity,tình trạng giấu tên; tình trạng nặc danh | giấu tên
anonymous,giấu tên; vô danh; nặc danh | giấu tên | lá thư nặc danh
anonymousness,sự giấu tên; sự nặc danh
anopheles,muỗi anôfen ((cũng) anopheles mosquito)
anorak,áo ngoài có mũ trùm đầu (ở vùng bắc cực)
anorganic,(hoá học) vô cơ
anosmia,(y học) chứng mất khứu giác
anourous,(động vật học) không có đuôi
anoxaemia,(y học) sự thiếu oxy huyết
anoxia,(y học) sự thiếu oxy huyết
ansate,có quai
ant-bear,thú ăn kiến lớn
ant-eater,(động vật học) loài thú ăn kiến
ant-eggs,trứng kiến
ant-fly,kiến cánh (dùng làm mồi câu)
ant-lion,(động vật học) kiến sư tử
antagonise,gây phản tác dụng; trung hoà (lực)
antagonize,gây phản tác dụng; trung hoà (lực)
antalgic,(y học) chống đau
antalkali,(hoá học) chất chống kiềm
antaphrodisiac,chế ngự tình dục
antarthritic,(y học) chữa bệnh viêm khớp
antasthmatic,(y học) chữa bệnh suyễn
ante,(đánh bài) số tiền tổ trước (đánh xì)
ante-bellum,trước chiến tranh
ante-mortem,trước khi chết
ante-war,trước chiến tranh
antecedence,tình trạng ở trước
antechamber,phòng ngoài
antedate,ngày tháng để lùi về trước
antediluvian,trước thời kỳ hồng thuỷ
antelope,(động vật học) loài linh dương
antemeridian,(thuộc) buổi sáng
antemundane,trước lúc khai thiên lập địa
antenna,râu (của sâu bọ)
antennae,râu (của sâu bọ)
antennal,(thuộc) râu (của sâu bọ)
antennary,(thuộc) râu (của sâu bọ)
antenniform,hình râu
antennule,râu nhỏ (của loài tôm...)
antenuptial,sinh trước khi cưới; xảy ra trước khi cưới
antependium,màn che bàn thờ
antepenult,(ngôn ngữ học) thứ ba kể từ dưới lên (âm tiết)
antepenultimate,(ngôn ngữ học) thứ ba kể từ dưới lên (âm tiết)
anteprandial,trước bữa ăn
anteriority,tình trạng ở trước
anthelia,(khí tượng) áo nhật
anthelion,(khí tượng) áo nhật
anther,(thực vật học) bao phấn
anther-dust,phấn hoa
antheral,(thực vật học) (thuộc) bao phấn
antheridium,(thực vật học) túi đực
antheriferous,(thực vật học) có bao phấn
anthesis,(thực vật học) sự nở hoa
anthocyanin,(thực vật học) antoxian (chất sắc)
anthony,st anthony thần của những người nuôi lợn
anthozoa,san hô
anthracene,(hoá học) antraxen
anthraces,(y học) cụm nhọt
anthracic,(y học) (thuộc) bệnh than
anthraciferous,có antraxit
anthracite,antraxit
anthracitic,(thuộc) antraxit
anthracitous,có antraxit; như antraxit
anthracoid,(y học) dạng than
anthrax,(y học) cụm nhọt
anthropocentrism,thuyết loài người là trung tâm
anthropogeny,môn nguồn gốc loài người
anthropography,địa lý nhân văn
anthropoid,dạng người | vượn người|*  danh từ|- vượn người
anthropological,(thuộc) nhân loại học
anthropologist,nhà nhân loại học
anthropology,nhân loại học
anthropometric,(thuộc) phép đo người
anthropometrical,(thuộc) phép đo người
anthropometry,phép đo người
anthropomorphic,(thuộc) thuyết hình người
anthropomorphism,thuyết hình người
anthropomorphist,người theo thuyết hình người
anthropomorphous,giống hình người
anthropophagi,những kẻ ăn thịt người
anthropophagous,ăn thịt người
anthropophagy,tục ăn thịt người
anti-alcoholism,sự chống uống nhiều rượu
anti-americanism,chủ nghĩa chống mỹ
anti-clockwise,đi ngược chiều kim đồng hồ
anti-fascist,chống phát xít
anti-government,chống chính phủ
anti-icer,máy chống đóng băng; chất chống đóng băng
anti-imperialism,chủ nghĩa chống đế quốc
anti-imperialist,chống đế quốc
anti-missile,(quân sự) chống tên lửa
anti-personnel,(quân sự) sát thương | bom sát thương
anti-rabic,phòng bệnh dại
anti-red-tape,chống quan liêu giấy tờ
